STATION_ID,MMP_SITE_NAME,LONGITUDE,LATITUDE,LOGGER_SERIAL,SAMPLE_DAY,CHL_QA_AVG,NTU_QA_AVG
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-19,0.758,1.733
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-20,0.834,2.166
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-21,0.893,2.834
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-22,0.868,3.801
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-23,1.019,5.283
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-24,0.942,5.201
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-25,0.711,3.37
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-26,0.653,2.826
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-27,0.573,1.745
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-28,0.637,1.523
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-29,0.6,1.367
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-30,0.556,1.012
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-03-31,0.638,1.213
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-04-01,0.617,1.338
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-04-02,0.539,1.536
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-04-03,0.471,2.422
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-04-04,0.566,5.97
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,351,2016-04-05,0.629,7.869
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-06-27,0.69,1.489
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-06-28,0.741,3.338
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-06-29,0.79,3.041
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-06-30,0.755,2.447
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-07-01,0.679,2.506
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-07-02,0.865,6.337
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-07-03,0.776,4.758
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-07-04,0.773,5.262
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-07-05,0.727,3.635
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-07-06,0.778,5.0
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-07-07,0.836,4.211
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-07-08,0.828,2.802
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-07-09,0.848,3.283
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-07-10,0.734,2.003
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-07-11,0.61,1.404
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-07-12,0.493,1.062
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-07-13,0.409,1.047
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-07-14,0.603,5.056
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-07-15,0.728,8.617
WHI7,Repulse Islands dive mooring,148.86123,-20.57793,843,2016-07-16,0.698,5.755
